ID	strand	type	start	end	seq_id	neighbours
PF3D7_0110500	+	protein_coding_gene	396580	403838	Pf3D7_01_v3	[]
PF3D7_0110600	+	protein_coding_gene	405007	412453	Pf3D7_01_v3	[]
PF3D7_0110700	-	protein_coding_gene	413076	417001	Pf3D7_01_v3	[]
PF3D7_0110800	+	protein_coding_gene	417254	420218	Pf3D7_01_v3	['PF3D7_0110900']
PF3D7_0110900	-	protein_coding_gene	419727	420942	Pf3D7_01_v3	['PF3D7_0110800']
PF3D7_0111000	-	protein_coding_gene	421025	428878	Pf3D7_01_v3	[]
PF3D7_0111200	-	protein_coding_gene	429849	430879	Pf3D7_01_v3	[]
PF3D7_0111300	-	protein_coding_gene	431167	436457	Pf3D7_01_v3	['PF3D7_0111400']
PF3D7_0111400	+	protein_coding_gene	436179	439368	Pf3D7_01_v3	['PF3D7_0111300']
PF3D7_0111500	-	protein_coding_gene	439395	442195	Pf3D7_01_v3	[]
PF3D7_0111600	-	protein_coding_gene	442380	443473	Pf3D7_01_v3	[]
PF3D7_0111700	-	protein_coding_gene	443476	444682	Pf3D7_01_v3	[]
PF3D7_0111800	+	protein_coding_gene	444710	449954	Pf3D7_01_v3	[]
PF3D7_0111900	-	protein_coding_gene	449966	450646	Pf3D7_01_v3	[]
PF3D7_0112000	-	protein_coding_gene	450831	453195	Pf3D7_01_v3	[]
PF3D7_0112100	+	protein_coding_gene	454847	455338	Pf3D7_01_v3	[]
PF3D7_0112200	+	protein_coding_gene	463764	471891	Pf3D7_01_v3	[]
PF3D7_0112300	+	ncRNA_gene	473739	475887	Pf3D7_01_v3	[]
PF3D7_0112500	+	ncRNA_gene	476287	476428	Pf3D7_01_v3	[]
PF3D7_0112700	+	ncRNA_gene	477279	481382	Pf3D7_01_v3	['PF3D7_0112800']
PF3D7_0112800	-	protein_coding_gene	481231	483218	Pf3D7_01_v3	['PF3D7_0112700']
PF3D7_0112900	+	protein_coding_gene	483603	487841	Pf3D7_01_v3	['PF3D7_0113000']
PF3D7_0113000	-	protein_coding_gene	487239	490901	Pf3D7_01_v3	['PF3D7_0112900']
PF3D7_0113100	+	protein_coding_gene	494941	500347	Pf3D7_01_v3	[]
PF3D7_0113200	-	protein_coding_gene	500888	503795	Pf3D7_01_v3	[]
PF3D7_0113300	-	protein_coding_gene	504339	507459	Pf3D7_01_v3	[]
PF3D7_0113400	-	protein_coding_gene	507977	510158	Pf3D7_01_v3	[]
PF3D7_0113600	+	pseudogene	512086	517855	Pf3D7_01_v3	[]
PF3D7_0113700	+	protein_coding_gene	519766	523106	Pf3D7_01_v3	[]
PF3D7_0113800	+	protein_coding_gene	526530	536562	Pf3D7_01_v3	[]
PF3D7_0113900	-	protein_coding_gene	536783	538156	Pf3D7_01_v3	[]
PF3D7_0114000	+	protein_coding_gene	541805	547544	Pf3D7_01_v3	['PF3D7_0114100']
PF3D7_0114100	-	protein_coding_gene	547245	548669	Pf3D7_01_v3	['PF3D7_0114000']
PF3D7_0114200	-	protein_coding_gene	550576	551713	Pf3D7_01_v3	[]
PF3D7_0114300	+	pseudogene	552640	553797	Pf3D7_01_v3	[]
PF3D7_0114400	-	pseudogene	554057	555439	Pf3D7_01_v3	[]
PF3D7_0114500	-	protein_coding_gene	557700	558946	Pf3D7_01_v3	[]
PF3D7_0114600	-	pseudogene	560474	561534	Pf3D7_01_v3	[]
PF3D7_0114700	-	protein_coding_gene	563703	564842	Pf3D7_01_v3	[]
PF3D7_0114750	-	protein_coding_gene	566515	566691	Pf3D7_01_v3	[]
PF3D7_0114800	-	protein_coding_gene	569485	570272	Pf3D7_01_v3	[]
PF3D7_0114900	-	pseudogene	572135	572853	Pf3D7_01_v3	[]
PF3D7_0115000	+	protein_coding_gene	577704	583789	Pf3D7_01_v3	[]
PF3D7_0115050	+	ncRNA_gene	584722	584867	Pf3D7_01_v3	[]
PF3D7_0115100	+	protein_coding_gene	587391	588394	Pf3D7_01_v3	[]
PF3D7_0115150	-	pseudogene	589386	589994	Pf3D7_01_v3	[]
PF3D7_0115200	+	protein_coding_gene	591849	593187	Pf3D7_01_v3	[]
PF3D7_0115300	+	protein_coding_gene	595102	596273	Pf3D7_01_v3	[]
PF3D7_0115400	+	protein_coding_gene	598465	599472	Pf3D7_01_v3	[]
PF3D7_0115500	+	pseudogene	600692	601992	Pf3D7_01_v3	[]
PF3D7_0115600	+	protein_coding_gene	604162	605531	Pf3D7_01_v3	[]
PF3D7_0115700	-	protein_coding_gene	607390	614893	Pf3D7_01_v3	[]
PF3D7_0200100	+	protein_coding_gene	25232	31168	Pf3D7_02_v3	[]
PF3D7_0200200	-	protein_coding_gene	33030	34259	Pf3D7_02_v3	[]
PF3D7_0200300	-	protein_coding_gene	35927	37249	Pf3D7_02_v3	[]
PF3D7_0200400	-	protein_coding_gene	38287	39303	Pf3D7_02_v3	[]
PF3D7_0200500	-	protein_coding_gene	41515	42858	Pf3D7_02_v3	[]
PF3D7_0200600	-	protein_coding_gene	45286	46558	Pf3D7_02_v3	[]
PF3D7_0200700	-	protein_coding_gene	48923	50147	Pf3D7_02_v3	[]
PF3D7_0200800	-	pseudogene	51842	53055	Pf3D7_02_v3	[]
PF3D7_0200900	-	pseudogene	54254	55255	Pf3D7_02_v3	[]
PF3D7_0201000	-	protein_coding_gene	57344	58421	Pf3D7_02_v3	[]
PF3D7_0201100	-	protein_coding_gene	60107	60319	Pf3D7_02_v3	[]
PF3D7_0201200	+	protein_coding_gene	63157	64376	Pf3D7_02_v3	[]
PF3D7_0201300	+	protein_coding_gene	66529	67545	Pf3D7_02_v3	[]
PF3D7_0201400	+	protein_coding_gene	69088	69771	Pf3D7_02_v3	[]
PF3D7_0201500	-	protein_coding_gene	72155	76714	Pf3D7_02_v3	[]
PF3D7_0201600	-	protein_coding_gene	76725	79448	Pf3D7_02_v3	[]
PF3D7_0201700	-	protein_coding_gene	80851	84937	Pf3D7_02_v3	[]
PF3D7_0201800	-	protein_coding_gene	86183	89482	Pf3D7_02_v3	[]
PF3D7_0201900	-	protein_coding_gene	90205	100157	Pf3D7_02_v3	[]
PF3D7_0202000	-	protein_coding_gene	102137	106662	Pf3D7_02_v3	[]
PF3D7_0202100	-	protein_coding_gene	108217	111658	Pf3D7_02_v3	[]
PF3D7_0202200	-	protein_coding_gene	111818	115064	Pf3D7_02_v3	[]
PF3D7_0202300	+	protein_coding_gene	117033	118455	Pf3D7_02_v3	[]
PF3D7_0202400	+	protein_coding_gene	118835	125090	Pf3D7_02_v3	[]
PF3D7_0202500	+	protein_coding_gene	127203	129089	Pf3D7_02_v3	[]
PF3D7_0202600	-	protein_coding_gene	129336	134329	Pf3D7_02_v3	[]
PF3D7_0202700	+	protein_coding_gene	134779	137615	Pf3D7_02_v3	['PF3D7_0202800']
PF3D7_0202800	-	protein_coding_gene	137155	141252	Pf3D7_02_v3	['PF3D7_0202700', 'PF3D7_0202900']
PF3D7_0202900	+	protein_coding_gene	138621	141266	Pf3D7_02_v3	['PF3D7_0202800']
PF3D7_0203000	-	protein_coding_gene	141269	148515	Pf3D7_02_v3	[]
PF3D7_0203100	-	protein_coding_gene	148914	157296	Pf3D7_02_v3	[]
PF3D7_0203200	-	protein_coding_gene	157937	159891	Pf3D7_02_v3	[]
PF3D7_0203300	+	protein_coding_gene	160393	161450	Pf3D7_02_v3	[]
PF3D7_0203400	-	protein_coding_gene	161491	163864	Pf3D7_02_v3	[]
PF3D7_0203500	+	ncRNA_gene	164269	164340	Pf3D7_02_v3	[]
PF3D7_0203600	+	protein_coding_gene	165912	168559	Pf3D7_02_v3	[]
PF3D7_0203700	-	protein_coding_gene	168580	170767	Pf3D7_02_v3	[]
PF3D7_0203800	-	protein_coding_gene	171277	175196	Pf3D7_02_v3	[]
PF3D7_0203900	+	protein_coding_gene	176370	178737	Pf3D7_02_v3	[]
PF3D7_0204000	+	protein_coding_gene	178955	181941	Pf3D7_02_v3	['PF3D7_0204100']
PF3D7_0204100	-	protein_coding_gene	181749	189877	Pf3D7_02_v3	['PF3D7_0204000']
PF3D7_0204200	+	protein_coding_gene	192755	194248	Pf3D7_02_v3	[]
PF3D7_0204300	-	protein_coding_gene	194272	197151	Pf3D7_02_v3	[]
PF3D7_0204400	-	protein_coding_gene	197153	198043	Pf3D7_02_v3	[]
PF3D7_0204500	-	protein_coding_gene	198353	199613	Pf3D7_02_v3	[]
PF3D7_0204600	-	protein_coding_gene	199889	204454	Pf3D7_02_v3	[]
PF3D7_0204700	-	protein_coding_gene	204784	207425	Pf3D7_02_v3	[]
PF3D7_0204800	-	protein_coding_gene	209149	211029	Pf3D7_02_v3	[]
PF3D7_0204900	+	protein_coding_gene	211067	212635	Pf3D7_02_v3	[]
PF3D7_0205000	-	protein_coding_gene	212672	214714	Pf3D7_02_v3	[]
PF3D7_0205100	-	protein_coding_gene	214838	217843	Pf3D7_02_v3	[]
PF3D7_0205200	-	protein_coding_gene	217882	218907	Pf3D7_02_v3	[]
PF3D7_0205300	+	protein_coding_gene	219690	222256	Pf3D7_02_v3	[]
PF3D7_0205400	+	protein_coding_gene	222830	225455	Pf3D7_02_v3	['PF3D7_0205500']
PF3D7_0205500	-	protein_coding_gene	225212	226438	Pf3D7_02_v3	['PF3D7_0205400']
PF3D7_0205600	+	protein_coding_gene	227756	230583	Pf3D7_02_v3	[]
PF3D7_0205700	+	protein_coding_gene	230768	232631	Pf3D7_02_v3	[]
PF3D7_0205800	-	protein_coding_gene	232642	233918	Pf3D7_02_v3	[]
PF3D7_0205900	+	protein_coding_gene	234461	239124	Pf3D7_02_v3	[]
PF3D7_0206000	-	protein_coding_gene	239146	244604	Pf3D7_02_v3	[]
PF3D7_0206100	+	protein_coding_gene	244645	248513	Pf3D7_02_v3	[]
PF3D7_0206200	+	protein_coding_gene	248880	251521	Pf3D7_02_v3	[]
PF3D7_0206300	+	pseudogene	252394	262443	Pf3D7_02_v3	[]
PF3D7_0206500	-	protein_coding_gene	262727	268003	Pf3D7_02_v3	[]
PF3D7_0206600	-	protein_coding_gene	268187	270646	Pf3D7_02_v3	[]
PF3D7_0206700	+	protein_coding_gene	271374	274711	Pf3D7_02_v3	['PF3D7_0206800']
PF3D7_0206800	-	protein_coding_gene	271576	274917	Pf3D7_02_v3	['PF3D7_0206700']
PF3D7_0206900	-	protein_coding_gene	274946	276712	Pf3D7_02_v3	[]
PF3D7_0207000	-	protein_coding_gene	276725	279258	Pf3D7_02_v3	[]
PF3D7_0207100	+	protein_coding_gene	281275	287696	Pf3D7_02_v3	['PF3D7_0207200']
PF3D7_0207200	-	protein_coding_gene	287423	288941	Pf3D7_02_v3	['PF3D7_0207100']
PF3D7_0207300	-	protein_coding_gene	290168	292703	Pf3D7_02_v3	[]
PF3D7_0207400	-	protein_coding_gene	293896	297980	Pf3D7_02_v3	[]
PF3D7_0207500	-	protein_coding_gene	298380	302820	Pf3D7_02_v3	[]
PF3D7_0207600	-	protein_coding_gene	303409	307376	Pf3D7_02_v3	[]
PF3D7_0207700	-	protein_coding_gene	308628	312348	Pf3D7_02_v3	[]
PF3D7_0207800	-	protein_coding_gene	312990	316944	Pf3D7_02_v3	[]
PF3D7_0207900	-	protein_coding_gene	317422	321552	Pf3D7_02_v3	[]
PF3D7_0208000	-	protein_coding_gene	322329	326390	Pf3D7_02_v3	[]
PF3D7_0208100	+	protein_coding_gene	327442	335433	Pf3D7_02_v3	['PF3D7_0208200']
PF3D7_0208200	-	protein_coding_gene	335421	337000	Pf3D7_02_v3	['PF3D7_0208100']
PF3D7_0208300	+	protein_coding_gene	337310	343223	Pf3D7_02_v3	['PF3D7_0208400']
PF3D7_0208400	-	protein_coding_gene	342081	351139	Pf3D7_02_v3	['PF3D7_0208300']
PF3D7_0208500	+	protein_coding_gene	351650	354043	Pf3D7_02_v3	[]
PF3D7_0208600	+	protein_coding_gene	354341	356448	Pf3D7_02_v3	['PF3D7_0208700']
PF3D7_0208700	-	protein_coding_gene	356196	358035	Pf3D7_02_v3	['PF3D7_0208600']
PF3D7_0208800	+	protein_coding_gene	358084	360086	Pf3D7_02_v3	[]
PF3D7_0208900	+	protein_coding_gene	360828	368354	Pf3D7_02_v3	[]
PF3D7_0209000	+	protein_coding_gene	369351	380156	Pf3D7_02_v3	[]
PF3D7_0209100	-	protein_coding_gene	380935	384245	Pf3D7_02_v3	[]
PF3D7_0209200	-	protein_coding_gene	384529	386885	Pf3D7_02_v3	[]
PF3D7_0209300	+	protein_coding_gene	386930	388236	Pf3D7_02_v3	['PF3D7_0209400']
PF3D7_0209400	-	protein_coding_gene	388216	391107	Pf3D7_02_v3	['PF3D7_0209300']
PF3D7_0209500	-	protein_coding_gene	391238	392887	Pf3D7_02_v3	[]
PF3D7_0209600	-	protein_coding_gene	393969	399286	Pf3D7_02_v3	[]
PF3D7_0209700	-	protein_coding_gene	400078	402755	Pf3D7_02_v3	[]
PF3D7_0209800	-	protein_coding_gene	403095	406706	Pf3D7_02_v3	[]
PF3D7_0209900	+	ncRNA_gene	407900	408438	Pf3D7_02_v3	[]
PF3D7_0210000	+	protein_coding_gene	409983	411199	Pf3D7_02_v3	[]
PF3D7_0210100	+	protein_coding_gene	411419	412963	Pf3D7_02_v3	['PF3D7_0210200']
PF3D7_0210200	-	protein_coding_gene	412948	421861	Pf3D7_02_v3	['PF3D7_0210100']
PF3D7_0210300	-	protein_coding_gene	422574	425116	Pf3D7_02_v3	[]
PF3D7_0210400	+	protein_coding_gene	425599	427108	Pf3D7_02_v3	[]
PF3D7_0210500	+	protein_coding_gene	427161	431611	Pf3D7_02_v3	[]
PF3D7_0210600	-	protein_coding_gene	431716	434231	Pf3D7_02_v3	[]
PF3D7_0210700	+	protein_coding_gene	435985	437173	Pf3D7_02_v3	[]
PF3D7_0210800	-	protein_coding_gene	437342	439708	Pf3D7_02_v3	[]
PF3D7_0210900	-	protein_coding_gene	441381	443570	Pf3D7_02_v3	[]
PF3D7_0211000	+	ncRNA_gene	443824	444608	Pf3D7_02_v3	[]
PF3D7_0211100	+	protein_coding_gene	451526	455367	Pf3D7_02_v3	['PF3D7_0211200']
PF3D7_0211200	-	protein_coding_gene	455265	456900	Pf3D7_02_v3	['PF3D7_0211100']
PF3D7_0211300	-	protein_coding_gene	456907	458616	Pf3D7_02_v3	[]
PF3D7_0211400	-	protein_coding_gene	458932	461640	Pf3D7_02_v3	[]
PF3D7_0211500	+	protein_coding_gene	463147	467352	Pf3D7_02_v3	[]
PF3D7_0211600	+	protein_coding_gene	467682	468518	Pf3D7_02_v3	[]
PF3D7_0211700	+	protein_coding_gene	469408	474167	Pf3D7_02_v3	[]
PF3D7_0211800	+	protein_coding_gene	475109	477618	Pf3D7_02_v3	['PF3D7_0211900']
PF3D7_0211900	-	protein_coding_gene	477189	479816	Pf3D7_02_v3	['PF3D7_0211800', 'PF3D7_0212000']
PF3D7_0212000	+	protein_coding_gene	479683	481854	Pf3D7_02_v3	['PF3D7_0211900']
PF3D7_0212100	+	protein_coding_gene	483322	489702	Pf3D7_02_v3	['PF3D7_0212200']
PF3D7_0212200	-	protein_coding_gene	489203	491256	Pf3D7_02_v3	['PF3D7_0212100']
PF3D7_0212300	+	protein_coding_gene	491640	495105	Pf3D7_02_v3	['PF3D7_0212400']
PF3D7_0212400	-	protein_coding_gene	494337	507898	Pf3D7_02_v3	['PF3D7_0212300']
PF3D7_0212500	+	protein_coding_gene	508665	521769	Pf3D7_02_v3	[]
PF3D7_0212600	+	protein_coding_gene	522339	524405	Pf3D7_02_v3	[]
PF3D7_0212700	-	protein_coding_gene	524470	526067	Pf3D7_02_v3	[]
PF3D7_0212800	+	protein_coding_gene	526387	531923	Pf3D7_02_v3	[]
PF3D7_0212900	+	protein_coding_gene	532001	534657	Pf3D7_02_v3	[]
PF3D7_0213000	+	protein_coding_gene	534659	536945	Pf3D7_02_v3	[]
PF3D7_0213100	+	protein_coding_gene	537390	540199	Pf3D7_02_v3	['PF3D7_0213200']
PF3D7_0213200	-	protein_coding_gene	539809	541065	Pf3D7_02_v3	['PF3D7_0213100', 'PF3D7_0213400']
PF3D7_0213300	-	protein_coding_gene	541071	542094	Pf3D7_02_v3	['PF3D7_0213400']
PF3D7_0213400	+	protein_coding_gene	540403	543807	Pf3D7_02_v3	['PF3D7_0213200', 'PF3D7_0213500']
PF3D7_0213500	-	protein_coding_gene	543700	546217	Pf3D7_02_v3	['PF3D7_0213400']
PF3D7_0213600	-	protein_coding_gene	546482	555294	Pf3D7_02_v3	[]
PF3D7_0213700	+	protein_coding_gene	556774	558250	Pf3D7_02_v3	[]
PF3D7_0213800	+	protein_coding_gene	558585	560594	Pf3D7_02_v3	[]
PF3D7_0213900	-	protein_coding_gene	560872	565395	Pf3D7_02_v3	[]
PF3D7_0214000	+	protein_coding_gene	565669	568518	Pf3D7_02_v3	['PF3D7_0214100']
PF3D7_0214100	-	protein_coding_gene	568246	573893	Pf3D7_02_v3	['PF3D7_0214000']
PF3D7_0214200	-	protein_coding_gene	574898	576521	Pf3D7_02_v3	[]
PF3D7_0214300	+	protein_coding_gene	577433	586702	Pf3D7_02_v3	[]
PF3D7_0214400	-	protein_coding_gene	586717	589640	Pf3D7_02_v3	[]
PF3D7_0214500	+	protein_coding_gene	590110	591752	Pf3D7_02_v3	[]
PF3D7_0214600	+	protein_coding_gene	593374	600035	Pf3D7_02_v3	['PF3D7_0214700']
PF3D7_0214700	-	protein_coding_gene	599425	601740	Pf3D7_02_v3	['PF3D7_0214600']
PF3D7_0214800	+	protein_coding_gene	603261	609873	Pf3D7_02_v3	[]
PF3D7_0214900	+	protein_coding_gene	609924	616306	Pf3D7_02_v3	['PF3D7_0215000']
PF3D7_0215000	-	protein_coding_gene	615813	621692	Pf3D7_02_v3	['PF3D7_0214900']
PF3D7_0215100	-	protein_coding_gene	622029	624953	Pf3D7_02_v3	[]
PF3D7_0215200	+	protein_coding_gene	625082	627710	Pf3D7_02_v3	[]
PF3D7_0215300	-	protein_coding_gene	628091	632681	Pf3D7_02_v3	[]
PF3D7_0215400	-	protein_coding_gene	634417	639395	Pf3D7_02_v3	[]
PF3D7_0215500	+	protein_coding_gene	639847	643411	Pf3D7_02_v3	['PF3D7_0215600']
PF3D7_0215600	-	protein_coding_gene	642807	644902	Pf3D7_02_v3	['PF3D7_0215500']
PF3D7_0215700	+	protein_coding_gene	645368	650460	Pf3D7_02_v3	[]
PF3D7_0215800	-	protein_coding_gene	650472	653693	Pf3D7_02_v3	[]
PF3D7_0215900	-	protein_coding_gene	654918	656840	Pf3D7_02_v3	[]
PF3D7_0216000	+	protein_coding_gene	657770	664734	Pf3D7_02_v3	[]
PF3D7_0216100	-	protein_coding_gene	664805	668532	Pf3D7_02_v3	[]
